,year,statefip,state_male_ratio,state_log_avg_income,state_log_med_income,state_med_income,state_some_college,state_bs_college,state_below_poverty,state_log_population,state_population,state_black_race,state_hispanic,county_fips,countyf_ipeds
0,1990,1,0.4769076760100569,10.40929042253571,10.203592144986466,27000.0,0.27662555697129787,0.10311776662718086,0.19123822361726292,15.183854265824925,3928838.0,0.24889954739798384,0.005365199583184647,-1000,-1000
0,1991,1,0.47703896449257044,10.449563108485899,10.239592418389607,28170.0,0.2822039322112378,0.10562177382165233,0.1904926097492027,15.196125955061898,3980134.6,0.24993014205658304,0.0064347838113633805,-1000,-1000
0,1992,1,0.477170252975084,10.489835794436088,10.275592691792747,29340.0,0.2877823074511777,0.1081257810161238,0.18974699588114252,15.208397644298872,4031431.2,0.25096073671518226,0.0075043680395421135,-1000,-1000
0,1993,1,0.4773015414575975,10.530108480386277,10.311592965195889,30510.0,0.29336068269111765,0.11062978821059527,0.1890013820130823,15.220669333535845,4082727.8,0.25199133137378144,0.008573952267720846,-1000,-1000
0,1994,1,0.47743282994011105,10.570381166336466,10.347593238599028,31680.0,0.2989390579310576,0.11313379540506674,0.1882557681450221,15.232941022772819,4134024.4,0.25302192603238066,0.00964353649589958,-1000,-1000
0,1995,1,0.4775641184226246,10.610653852286656,10.38359351200217,32850.0,0.3045174331709975,0.11563780259953821,0.18751015427696188,15.245212712009792,4185321.0,0.25405252069097983,0.010713120724078314,-1000,-1000
0,1996,1,0.47769540690513806,10.650926538236845,10.419593785405311,34020.0,0.3100958084109374,0.11814180979400968,0.1867645404089017,15.257484401246764,4236617.6,0.25508311534957906,0.011782704952257047,-1000,-1000
0,1997,1,0.4778266953876516,10.691199224187034,10.455594058808451,35190.0,0.31567418365087735,0.12064581698848115,0.18601892654084148,15.269756090483737,4287914.2,0.25611371000817823,0.01285228918043578,-1000,-1000
0,1998,1,0.47795798387016514,10.731471910137223,10.491594332211593,36360.0,0.3212525588908173,0.12314982418295262,0.18527331267278127,15.28202777972071,4339210.8,0.25714430466677746,0.013921873408614515,-1000,-1000
0,1999,1,0.4780892723526787,10.771744596087412,10.527594605614732,37530.0,0.3268309341307572,0.12565383137742409,0.18452769880472109,15.294299468957684,4390507.4,0.25817489932537663,0.014991457636793246,-1000,-1000
51,2000,1,0.4782205608351922,10.812017282037601,10.563594879017874,38700.0,0.3324093093706971,0.12815783857189555,0.18378208493666087,15.306571158194657,4441804.0,0.25920549398397585,0.01606104186497198,-1000,-1000
102,2001,1,0.47339472740955096,10.81540303663781,10.628617778949124,41300.0,0.33881146210419444,0.1307345238698442,0.17357666706075978,15.265472436007672,4262952.0,0.26042188605454625,0.017535032062289232,-1000,-1000
153,2002,1,0.4763776006465327,10.86439208689008,10.675907913990581,43300.0,0.3413777651527614,0.13991023057285704,0.17507772340061714,15.277827093697091,4315946.0,0.2515675590009699,0.020807489250328895,-1000,-1000
204,2003,1,0.47253860698227745,10.850535193580763,10.687389096364537,43800.0,0.35651125153139956,0.1470393576240011,0.17816206338149218,15.250691745248343,4200406.0,0.2538042751105488,0.018612248435032234,-1000,-1000
255,2004,1,0.47259263886993647,10.903313850288615,10.736396675471232,46000.0,0.36206952838628353,0.1500510951459494,0.16965843170900638,15.264249765638901,4257743.0,0.2620468168229036,0.020476811305896105,-1000,-1000
306,2005,1,0.47792924875004655,10.948766729611586,10.714417768752456,45000.0,0.35131862792642177,0.14520535918263594,0.17520952837556383,15.285907528040225,4350962.0,0.2611132894288665,0.02352813010088344,-1000,-1000
357,2006,1,0.477244348607561,10.967228237636018,10.772686676876432,47700.0,0.3613492451275066,0.1468911116226001,0.1925821085639857,15.310115229815509,4457574.0,0.2619725438097046,0.023021266724904624,-1000,-1000
408,2007,1,0.47973285884905065,11.00482522448945,10.819778284410283,50000.0,0.364356510236053,0.149236976979683,0.19076705584127526,15.32246603132416,4512970.0,0.2582864499431638,0.02693082382555169,-1000,-1000
459,2008,1,0.47907512176803385,11.050309097617172,10.86283777387073,52200.0,0.38356830074636705,0.15656563850261643,0.1799533716165922,15.313719658812516,4473670.0,0.2589927285651378,0.026580413843667505,-1000,-1000
510,2009,1,0.4805199038048027,11.019693979330654,10.819778284410283,50000.0,0.3902835325879387,0.1547647640684601,0.19733840121202098,15.33536024892219,4571538.0,0.26330985327038736,0.03153883878904649,-1000,-1000
561,2010,1,0.4767713159189518,11.023704261778052,10.795485591841238,48800.0,0.39211808042886337,0.15788574040913803,0.21168269258699332,15.314119250822776,4475458.0,0.25707067299033975,0.033617341510075616,-1000,-1000
612,2011,1,0.47725667629566026,11.033249165497741,10.776870783399007,47900.0,0.403077949298104,0.15895263178986938,0.21055589097535332,15.334239429102855,4566417.0,0.26055964665513465,0.03629278710201018,-1000,-1000
663,2012,1,0.48020986505527385,11.054923557573604,10.819778284410283,50000.0,0.4134953183418488,0.16792008676273984,0.2075965025161506,15.31806969165111,4493173.0,0.25763285767095995,0.03741765562999689,-1000,-1000
714,2013,1,0.4776811996015638,11.080897482099813,10.839776970916972,51010.0,0.4163162089979061,0.17137944565493232,0.21300485077088016,15.313454740530432,4472485.0,0.26361027482484567,0.0363435539750273,-1000,-1000
765,2014,1,0.47941558090801606,11.096055146199339,10.849337086651827,51500.0,0.41415313715025115,0.1666841905552835,0.2156262997038426,15.31928146333241,4498621.0,0.26061764260647874,0.04003360140807594,-1000,-1000
1,1990,2,0.5123818645386352,10.865594086422503,10.686155459034484,43746.0,0.3701877485505751,0.13987541476359658,0.08494774877771322,13.177444190080394,528313.0,0.0366487290678064,0.028422544968607626,-1000,-1000
1,1991,2,0.512451030903491,10.888337193405937,10.70795185641544,44811.4,0.3730334663516665,0.14114229785342766,0.08784475058025218,13.194165307696565,537928.5,0.03659172718083782,0.029837674356909913,-1000,-1000
1,1992,2,0.5125201972683467,10.911080300389369,10.729748253796394,45876.8,0.37587918415275795,0.14240918094325875,0.09074175238279113,13.210886425312736,547544.0,0.036534725293869245,0.0312528037452122,-1000,-1000
1,1993,2,0.5125893636332025,10.933823407372802,10.75154465117735,46942.2,0.37872490195384934,0.14367606403308983,0.09363875418533009,13.227607542928908,557159.5,0.03647772340690067,0.03266793313351449,-1000,-1000
1,1994,2,0.5126585299980583,10.956566514356235,10.773341048558304,48007.6,0.3815706197549407,0.1449429471229209,0.09653575598786905,13.24432866054508,566775.0,0.036420721519932094,0.034083062521816775,-1000,-1000
1,1995,2,0.5127276963629142,10.979309621339668,10.79513744593926,49073.0,0.3844163375560321,0.146209830212752,0.099432757790408,13.26104977816125,576390.5,0.03636371963296352,0.03549819191011906,-1000,-1000
1,1996,2,0.5127968627277699,11.002052728323102,10.816933843320214,50138.4,0.38726205535712355,0.14747671330258308,0.10232975959294696,13.277770895777424,586006.0,0.03630671774599494,0.036913321298421356,-1000,-1000
1,1997,2,0.5128660290926257,11.024795835306534,10.83873024070117,51203.8,0.39010777315821493,0.14874359639241416,0.10522676139548592,13.294492013393596,595621.5,0.036249715859026366,0.03832845068672364,-1000,-1000
1,1998,2,0.5129351954574815,11.047538942289968,10.860526638082124,52269.2,0.3929534909593063,0.15001047948224525,0.10812376319802489,13.311213131009767,605237.0,0.03619271397205779,0.03974358007502593,-1000,-1000
1,1999,2,0.5130043618223372,11.0702820492734,10.882323035463079,53334.6,0.39579920876039776,0.15127736257207633,0.11102076500056383,13.327934248625938,614852.5,0.036135712085089214,0.04115870946332822,-1000,-1000
52,2000,2,0.513073528187193,11.093025156256834,10.904119432844034,54400.0,0.39864492656148914,0.1525442456619074,0.1139177668031028,13.34465536624211,624468.0,0.03607871019812064,0.042573838851630505,-1000,-1000
103,2001,2,0.5076004905482578,11.192488932539636,11.057219140425318,63400.0,0.4049813371115797,0.1606862997356787,0.08038742619220268,13.302205195519447,598514.0,0.03249882208269147,0.04263225254547095,-1000,-1000
154,2002,2,0.5114783696030115,11.219476955894113,11.124317473928487,67800.0,0.41199209255175184,0.17539549484399766,0.08539358491120445,13.325446252130504,612587.0,0.03619241022091556,0.039788634104217034,-1000,-1000
205,2003,2,0.5037720033528919,11.155187131220698,11.082142548877775,65000.0,0.4021403391932391,0.16595338430472603,0.10375756820198713,13.320596012301621,609623.0,0.03648648426978641,0.04583160412254787,-1000,-1000
256,2004,2,0.5019333011116481,11.227935743906153,11.157678073022682,70100.0,0.4307173076795752,0.17599992054926938,0.087799678224541,13.311574480013824,604148.0,0.03658044055430126,0.05022775876109827,-1000,-1000
307,2005,2,0.508192248551039,11.262358888943114,11.032305683261304,61840.0,0.4082923944328352,0.1704356740133265,0.11498166620667902,13.359922522952848,634075.0,0.03719118400820092,0.04050782636123487,-1000,-1000
358,2006,2,0.511598840350902,11.233607715817477,11.064448466268773,63860.0,0.42428371620235283,0.17261605496899615,0.13639189999827714,13.366828401983987,638469.0,0.03630559980202641,0.053701902519934404,-1000,-1000
409,2007,2,0.5149709997953289,11.310970086740936,11.128732492137603,68100.0,0.42381540819577024,0.16804114351138694,0.11956178836390832,13.384455297097041,649823.0,0.03674385178733286,0.05955160097441919,-1000,-1000
460,2008,2,0.5135795848347713,11.375199233009837,11.189961578373808,72400.0,0.4515980317442397,0.18058182091883296,0.1092153007109681,13.365657730689,637722.0,0.03058699558741897,0.05449396445473106,-1000,-1000
511,2009,2,0.5174624741597709,11.382023988692518,11.183031543709138,71900.0,0.4490679114960649,0.17619815851945456,0.11176320842100097,13.387928666966186,652084.0,0.03723139963562976,0.05767508480502512,-1000,-1000
562,2010,2,0.5230181495625328,11.374640627511813,11.156964551765153,70050.0,0.4687537799588741,0.18549590180458836,0.12562711317700864,13.450878324317179,694452.0,0.03215197018656437,0.05851808332325344,-1000,-1000
613,2011,2,0.5128446561824671,11.360205397827752,11.074420502783864,64500.0,0.45160955930944224,0.1719757144358588,0.1195561564077867,13.451046788293283,694569.0,0.032194065672381,0.06296998570336425,-1000,-1000
664,2012,2,0.5182297571917378,11.414442733549041,11.128732492137603,68100.0,0.46550984535434753,0.19194577363989965,0.13896010295266747,13.447856997524998,692357.0,0.03861302767214024,0.0691189660825268,-1000,-1000
715,2013,2,0.5323157265947434,11.450213497292246,11.15281605858286,69760.0,0.4691655805758695,0.19506492409432094,0.11889828156300533,13.40442166598582,662928.0,0.027144727632563415,0.06577939082373953,-1000,-1000
766,2014,2,0.5286116742736426,11.447371978041192,11.200950699949402,73200.0,0.47539905427842855,0.19985671775011635,0.14799911329427326,13.431571591048563,681173.0,0.030635389247665425,0.0620150828056896,-1000,-1000
2,1990,4,0.48683424967608685,10.530061546823173,10.357742824813725,31500.0,0.36987088537939056,0.13162083646703615,0.16471161863646072,15.08883692871892,3572717.0,0.02746453189547339,0.1886480233391002,-1000,-1000
