state,fips,year,unemployment,state_full
RI,44,2005,5,Rhode Island
SC,45,2005,6.7,South Carolina
SD,46,2005,3.8,South Dakota
TN,47,2005,5.6,Tennessee
TX,48,2005,5.4,Texas
UT,49,2005,4.1,Utah
VT,50,2005,3.5,Vermont
VA,51,2005,3.6,Virginia
WA,53,2005,5.6,Washington
WV,54,2005,5.1,West Virginia
WI,55,2005,4.7,Wisconsin
WY,56,2005,3.6,Wyoming
AL,1,2006,4,Alabama
AK,2,2006,6.6,Alaska
AZ,4,2006,4.2,Arizona
AR,5,2006,5.2,Arkansas
CA,6,2006,4.9,California
CO,8,2006,4.3,Colorado
CT,9,2006,4.3,Connecticut
DE,10,2006,3.6,Delaware
DC,11,2006,5.8,District of Columbia
FL,12,2006,3.2,Florida
GA,13,2006,4.7,Georgia
HI,15,2006,2.6,Hawaii
ID,16,2006,3.5,Idaho
IL,17,2006,4.5,Illinois
IN,18,2006,5,Indiana
IA,19,2006,3.7,Iowa
KS,20,2006,4.4,Kansas
KY,21,2006,5.7,Kentucky
LA,22,2006,4.5,Louisiana
ME,23,2006,4.6,Maine
MD,24,2006,3.9,Maryland
MA,25,2006,4.9,Massachusetts
MI,26,2006,7,Michigan
MN,27,2006,4,Minnesota
MS,28,2006,6.5,Mississippi
MO,29,2006,4.8,Missouri
MT,30,2006,3.5,Montana
NE,31,2006,3.1,Nebraska
NV,32,2006,4,Nevada
NH,33,2006,3.4,New Hampshire
NJ,34,2006,4.7,New Jersey
NM,35,2006,4.2,New Mexico
NY,36,2006,4.5,New York
NC,37,2006,4.7,North Carolina
ND,38,2006,3.2,North Dakota
OH,39,2006,5.4,Ohio
OK,40,2006,4,Oklahoma
OR,41,2006,5.3,Oregon
PA,42,2006,4.6,Pennsylvania
RI,44,2006,4.9,Rhode Island
SC,45,2006,6.4,South Carolina
SD,46,2006,3.1,South Dakota
TN,47,2006,5.2,Tennessee
TX,48,2006,4.9,Texas
UT,49,2006,3,Utah
VT,50,2006,3.7,Vermont
VA,51,2006,3.1,Virginia
WA,53,2006,5,Washington
WV,54,2006,4.9,West Virginia
WI,55,2006,4.7,Wisconsin
WY,56,2006,3.2,Wyoming
AL,1,2007,4,Alabama
AK,2,2007,6.3,Alaska
AZ,4,2007,3.9,Arizona
AR,5,2007,5.3,Arkansas
CA,6,2007,5.4,California
CO,8,2007,3.7,Colorado
CT,9,2007,4.5,Connecticut
DE,10,2007,3.4,Delaware
DC,11,2007,5.5,District of Columbia
FL,12,2007,4,Florida
GA,13,2007,4.5,Georgia
HI,15,2007,2.8,Hawaii
ID,16,2007,3.1,Idaho
IL,17,2007,5,Illinois
IN,18,2007,4.6,Indiana
IA,19,2007,3.7,Iowa
KS,20,2007,4.2,Kansas
KY,21,2007,5.4,Kentucky
LA,22,2007,4.3,Louisiana
ME,23,2007,4.7,Maine
MD,24,2007,3.5,Maryland
MA,25,2007,4.6,Massachusetts
MI,26,2007,7,Michigan
MN,27,2007,4.6,Minnesota
MS,28,2007,6.1,Mississippi
MO,29,2007,5.1,Missouri
MT,30,2007,3.6,Montana
NE,31,2007,3,Nebraska
NV,32,2007,4.5,Nevada
NH,33,2007,3.5,New Hampshire
NJ,34,2007,4.3,New Jersey
NM,35,2007,3.8,New Mexico
NY,36,2007,4.6,New York
NC,37,2007,4.7,North Carolina
ND,38,2007,3.1,North Dakota
OH,39,2007,5.6,Ohio
OK,40,2007,4.1,Oklahoma
OR,41,2007,5.2,Oregon
PA,42,2007,4.4,Pennsylvania
RI,44,2007,5.2,Rhode Island
SC,45,2007,5.7,South Carolina
SD,46,2007,2.8,South Dakota
TN,47,2007,4.7,Tennessee
TX,48,2007,4.3,Texas
UT,49,2007,2.6,Utah
VT,50,2007,4,Vermont
VA,51,2007,3,Virginia
WA,53,2007,4.7,Washington
WV,54,2007,4.6,West Virginia
WI,55,2007,4.9,Wisconsin
WY,56,2007,2.8,Wyoming
AL,1,2008,5.7,Alabama
AK,2,2008,6.7,Alaska
AZ,4,2008,6.2,Arizona
AR,5,2008,5.5,Arkansas
CA,6,2008,7.3,California
CO,8,2008,4.8,Colorado
CT,9,2008,5.7,Connecticut
DE,10,2008,4.9,Delaware
DC,11,2008,6.5,District of Columbia
FL,12,2008,6.3,Florida
GA,13,2008,6.2,Georgia
HI,15,2008,4.3,Hawaii
ID,16,2008,5.1,Idaho
IL,17,2008,6.3,Illinois
IN,18,2008,5.9,Indiana
IA,19,2008,4.2,Iowa
KS,20,2008,4.6,Kansas
KY,21,2008,6.4,Kentucky
LA,22,2008,4.9,Louisiana
ME,23,2008,5.5,Maine
MD,24,2008,4.2,Maryland
MA,25,2008,5.5,Massachusetts
MI,26,2008,8,Michigan
MN,27,2008,5.4,Minnesota
MS,28,2008,6.6,Mississippi
MO,29,2008,6.1,Missouri
MT,30,2008,5.1,Montana
NE,31,2008,3.3,Nebraska
NV,32,2008,6.7,Nevada
NH,33,2008,3.9,New Hampshire
NJ,34,2008,5.3,New Jersey
NM,35,2008,4.5,New Mexico
NY,36,2008,5.4,New York
NC,37,2008,6.1,North Carolina
ND,38,2008,3.2,North Dakota
OH,39,2008,6.4,Ohio
OK,40,2008,3.7,Oklahoma
OR,41,2008,6.5,Oregon
PA,42,2008,5.3,Pennsylvania
RI,44,2008,7.8,Rhode Island
SC,45,2008,6.8,South Carolina
SD,46,2008,3.1,South Dakota
TN,47,2008,6.6,Tennessee
TX,48,2008,4.8,Texas
UT,49,2008,3.6,Utah
VT,50,2008,4.7,Vermont
VA,51,2008,3.9,Virginia
WA,53,2008,5.4,Washington
WV,54,2008,4.3,West Virginia
WI,55,2008,4.9,Wisconsin
WY,56,2008,3.1,Wyoming
AL,1,2009,11,Alabama
AK,2,2009,7.7,Alaska
AZ,4,2009,9.9,Arizona
AR,5,2009,7.8,Arkansas
CA,6,2009,11.2,California
CO,8,2009,7.3,Colorado
CT,9,2009,7.9,Connecticut
DE,10,2009,8.3,Delaware
DC,11,2009,9.3,District of Columbia
FL,12,2009,10.4,Florida
GA,13,2009,9.9,Georgia
HI,15,2009,7.2,Hawaii
ID,16,2009,8.8,Idaho
IL,17,2009,10.2,Illinois
IN,18,2009,10.3,Indiana
IA,19,2009,6.4,Iowa
KS,20,2009,6.9,Kansas
KY,21,2009,10.3,Kentucky
LA,22,2009,6.8,Louisiana
ME,23,2009,8.1,Maine
MD,24,2009,7,Maryland
MA,25,2009,8.1,Massachusetts
MI,26,2009,13.7,Michigan
MN,27,2009,7.8,Minnesota
MS,28,2009,9.5,Mississippi
MO,29,2009,9.3,Missouri
MT,30,2009,6.8,Montana
NE,31,2009,4.6,Nebraska
NV,32,2009,11.3,Nevada
NH,33,2009,6.2,New Hampshire
NJ,34,2009,9.1,New Jersey
NM,35,2009,7.5,New Mexico
NY,36,2009,8.3,New York
NC,37,2009,10.6,North Carolina
ND,38,2009,4.1,North Dakota
OH,39,2009,10.3,Ohio
OK,40,2009,6.4,Oklahoma
OR,41,2009,11.3,Oregon
PA,42,2009,8,Pennsylvania
RI,44,2009,11,Rhode Island
SC,45,2009,11.2,South Carolina
SD,46,2009,4.9,South Dakota
TN,47,2009,10.5,Tennessee
TX,48,2009,7.6,Texas
UT,49,2009,7.3,Utah
VT,50,2009,6.6,Vermont
VA,51,2009,6.7,Virginia
WA,53,2009,9.2,Washington
WV,54,2009,7.7,West Virginia
WI,55,2009,8.6,Wisconsin
WY,56,2009,6.3,Wyoming
AL,1,2010,10.5,Alabama
AK,2,2010,7.9,Alaska
AZ,4,2010,10.4,Arizona
AR,5,2010,8.2,Arkansas
CA,6,2010,12.2,California
CO,8,2010,8.7,Colorado
CT,9,2010,9.1,Connecticut
DE,10,2010,8.4,Delaware
DC,11,2010,9.4,District of Columbia
FL,12,2010,11.1,Florida
GA,13,2010,10.5,Georgia
HI,15,2010,6.9,Hawaii
ID,16,2010,9,Idaho
IL,17,2010,10.4,Illinois
IN,18,2010,10.4,Indiana
IA,19,2010,6,Iowa
KS,20,2010,7.1,Kansas
KY,21,2010,10.2,Kentucky
LA,22,2010,8,Louisiana
ME,23,2010,8.1,Maine
MD,24,2010,7.7,Maryland
MA,25,2010,8.3,Massachusetts
MI,26,2010,12.6,Michigan
MN,27,2010,7.4,Minnesota
MS,28,2010,10.4,Mississippi
MO,29,2010,9.6,Missouri
MT,30,2010,7.3,Montana
NE,31,2010,4.6,Nebraska
NV,32,2010,13.5,Nevada
NH,33,2010,5.8,New Hampshire
NJ,34,2010,9.5,New Jersey
NM,35,2010,8.1,New Mexico
NY,36,2010,8.6,New York
NC,37,2010,10.9,North Carolina
ND,38,2010,3.8,North Dakota
OH,39,2010,10.3,Ohio
OK,40,2010,6.8,Oklahoma
OR,41,2010,10.6,Oregon
PA,42,2010,8.5,Pennsylvania
RI,44,2010,11.2,Rhode Island
SC,45,2010,11.2,South Carolina
SD,46,2010,5,South Dakota
TN,47,2010,9.7,Tennessee
TX,48,2010,8.1,Texas
UT,49,2010,7.8,Utah
VT,50,2010,6.1,Vermont
VA,51,2010,7.1,Virginia
WA,53,2010,10,Washington
WV,54,2010,8.7,West Virginia
WI,55,2010,8.7,Wisconsin
WY,56,2010,6.4,Wyoming
AL,1,2011,9.6,Alabama
AK,2,2011,7.6,Alaska
AZ,4,2011,9.5,Arizona
AR,5,2011,8.3,Arkansas
CA,6,2011,11.7,California
CO,8,2011,8.4,Colorado
CT,9,2011,8.8,Connecticut
DE,10,2011,7.5,Delaware
DC,11,2011,10.2,District of Columbia
FL,12,2011,10,Florida
GA,13,2011,10.2,Georgia
HI,15,2011,6.8,Hawaii
ID,16,2011,8.3,Idaho
IL,17,2011,9.7,Illinois
IN,18,2011,9.1,Indiana
IA,19,2011,5.5,Iowa
KS,20,2011,6.5,Kansas
KY,21,2011,9.4,Kentucky
LA,22,2011,7.8,Louisiana
ME,23,2011,7.9,Maine
MD,24,2011,7.2,Maryland
MA,25,2011,7.3,Massachusetts
MI,26,2011,10.4,Michigan
MN,27,2011,6.5,Minnesota
MS,28,2011,10,Mississippi
MO,29,2011,8.5,Missouri
MT,30,2011,6.9,Montana
NE,31,2011,4.4,Nebraska
NV,32,2011,13,Nevada
NH,33,2011,5.4,New Hampshire
NJ,34,2011,9.3,New Jersey
NM,35,2011,7.5,New Mexico
NY,36,2011,8.3,New York
NC,37,2011,10.3,North Carolina
ND,38,2011,3.5,North Dakota
OH,39,2011,8.8,Ohio
OK,40,2011,5.9,Oklahoma
OR,41,2011,9.5,Oregon
PA,42,2011,7.9,Pennsylvania
RI,44,2011,11,Rhode Island
SC,45,2011,10.6,South Carolina
SD,46,2011,4.7,South Dakota
TN,47,2011,9,Tennessee
TX,48,2011,7.8,Texas
UT,49,2011,6.7,Utah
VT,50,2011,5.5,Vermont
VA,51,2011,6.6,Virginia
WA,53,2011,9.3,Washington
WV,54,2011,8.1,West Virginia
WI,55,2011,7.8,Wisconsin
WY,56,2011,5.8,Wyoming
AL,1,2012,8,Alabama
AK,2,2012,7.1,Alaska
AZ,4,2012,8.3,Arizona
AR,5,2012,7.6,Arkansas
CA,6,2012,10.4,California
CO,8,2012,7.9,Colorado
CT,9,2012,8.3,Connecticut
DE,10,2012,7.2,Delaware
DC,11,2012,9,District of Columbia
FL,12,2012,8.5,Florida
GA,13,2012,9.2,Georgia
HI,15,2012,6,Hawaii
ID,16,2012,7.2,Idaho
IL,17,2012,9,Illinois
IN,18,2012,8.3,Indiana
IA,19,2012,5.1,Iowa
KS,20,2012,5.7,Kansas
KY,21,2012,8.2,Kentucky
LA,22,2012,7.1,Louisiana
ME,23,2012,7.5,Maine
MD,24,2012,7,Maryland
MA,25,2012,6.7,Massachusetts
MI,26,2012,9.1,Michigan
MN,27,2012,5.6,Minnesota
MS,28,2012,9,Mississippi
MO,29,2012,7,Missouri
MT,30,2012,6,Montana
NE,31,2012,4,Nebraska
NV,32,2012,11.2,Nevada
NH,33,2012,5.5,New Hampshire
NJ,34,2012,9.3,New Jersey
NM,35,2012,7.1,New Mexico
NY,36,2012,8.5,New York
NC,37,2012,9.3,North Carolina
ND,38,2012,3.1,North Dakota
OH,39,2012,7.4,Ohio
OK,40,2012,5.3,Oklahoma
OR,41,2012,8.8,Oregon
PA,42,2012,7.8,Pennsylvania
RI,44,2012,10.4,Rhode Island
SC,45,2012,9.2,South Carolina
SD,46,2012,4.3,South Dakota
TN,47,2012,7.8,Tennessee
TX,48,2012,6.7,Texas
UT,49,2012,5.4,Utah
VT,50,2012,5,Vermont
VA,51,2012,6,Virginia
WA,53,2012,8.1,Washington
WV,54,2012,7.5,West Virginia
WI,55,2012,7,Wisconsin
WY,56,2012,5.3,Wyoming
AL,1,2013,7.2,Alabama
AK,2,2013,6.9,Alaska
AZ,4,2013,7.7,Arizona
AR,5,2013,7.3,Arkansas
CA,6,2013,8.9,California
CO,8,2013,6.8,Colorado
CT,9,2013,7.8,Connecticut
DE,10,2013,6.7,Delaware
DC,11,2013,8.5,District of Columbia
FL,12,2013,7.3,Florida
GA,13,2013,8.2,Georgia
HI,15,2013,4.9,Hawaii
ID,16,2013,6.2,Idaho
IL,17,2013,9.1,Illinois
IN,18,2013,7.7,Indiana
IA,19,2013,4.7,Iowa
KS,20,2013,5.3,Kansas
KY,21,2013,8.1,Kentucky
LA,22,2013,6.7,Louisiana
ME,23,2013,6.6,Maine
MD,24,2013,6.6,Maryland
MA,25,2013,6.7,Massachusetts
MI,26,2013,8.8,Michigan
MN,27,2013,4.9,Minnesota
MS,28,2013,8.6,Mississippi
MO,29,2013,6.7,Missouri
MT,30,2013,5.4,Montana
NE,31,2013,3.8,Nebraska
NV,32,2013,9.6,Nevada
NH,33,2013,5.1,New Hampshire
NJ,34,2013,8.2,New Jersey
NM,35,2013,7,New Mexico
NY,36,2013,7.7,New York
NC,37,2013,7.9,North Carolina
ND,38,2013,2.9,North Dakota
OH,39,2013,7.5,Ohio
OK,40,2013,5.3,Oklahoma
OR,41,2013,7.9,Oregon
PA,42,2013,7.4,Pennsylvania
RI,44,2013,9.3,Rhode Island
SC,45,2013,7.6,South Carolina
SD,46,2013,3.8,South Dakota
TN,47,2013,7.8,Tennessee
TX,48,2013,6.2,Texas
UT,49,2013,4.6,Utah
VT,50,2013,4.4,Vermont
VA,51,2013,5.7,Virginia
WA,53,2013,7,Washington
WV,54,2013,6.7,West Virginia
WI,55,2013,6.7,Wisconsin
WY,56,2013,4.7,Wyoming
AL,1,2014,6.8,Alabama
AK,2,2014,6.9,Alaska
AZ,4,2014,6.8,Arizona
AR,5,2014,6.1,Arkansas
CA,6,2014,7.5,California
CO,8,2014,5,Colorado
CT,9,2014,6.6,Connecticut
DE,10,2014,5.7,Delaware
DC,11,2014,7.8,District of Columbia
FL,12,2014,6.3,Florida
GA,13,2014,7.1,Georgia
HI,15,2014,4.4,Hawaii
ID,16,2014,4.8,Idaho
IL,17,2014,7.1,Illinois
IN,18,2014,5.9,Indiana
IA,19,2014,4.2,Iowa
KS,20,2014,4.6,Kansas
KY,21,2014,6.5,Kentucky
LA,22,2014,6.4,Louisiana
ME,23,2014,5.6,Maine
MD,24,2014,5.8,Maryland
MA,25,2014,5.7,Massachusetts
MI,26,2014,7.3,Michigan
MN,27,2014,4.2,Minnesota
MS,28,2014,7.6,Mississippi
MO,29,2014,6.2,Missouri
MT,30,2014,4.7,Montana
NE,31,2014,3.3,Nebraska
NV,32,2014,7.9,Nevada
NH,33,2014,4.3,New Hampshire
NJ,34,2014,6.7,New Jersey
NM,35,2014,6.7,New Mexico
NY,36,2014,6.3,New York
NC,37,2014,6.3,North Carolina
ND,38,2014,2.7,North Dakota
OH,39,2014,5.8,Ohio
OK,40,2014,4.5,Oklahoma
OR,41,2014,6.8,Oregon
PA,42,2014,5.9,Pennsylvania
RI,44,2014,7.7,Rhode Island
SC,45,2014,6.4,South Carolina
SD,46,2014,3.4,South Dakota
TN,47,2014,6.5,Tennessee
TX,48,2014,5.1,Texas
UT,49,2014,3.8,Utah
VT,50,2014,4,Vermont
VA,51,2014,5.2,Virginia
WA,53,2014,6.1,Washington
WV,54,2014,6.6,West Virginia
WI,55,2014,5.4,Wisconsin
WY,56,2014,4.1,Wyoming
AL,1,2015,6.1,Alabama
AK,2,2015,6.5,Alaska
AZ,4,2015,6.1,Arizona
AR,5,2015,5.2,Arkansas
CA,6,2015,6.2,California
CO,8,2015,3.9,Colorado
CT,9,2015,5.6,Connecticut
DE,10,2015,4.9,Delaware
DC,11,2015,6.9,District of Columbia
FL,12,2015,5.4,Florida
GA,13,2015,5.9,Georgia
HI,15,2015,3.6,Hawaii
ID,16,2015,4.1,Idaho
IL,17,2015,5.9,Illinois
IN,18,2015,4.8,Indiana
IA,19,2015,3.7,Iowa
KS,20,2015,4.2,Kansas
KY,21,2015,5.4,Kentucky
LA,22,2015,6.3,Louisiana
ME,23,2015,4.4,Maine
MD,24,2015,5.2,Maryland
MA,25,2015,5,Massachusetts
MI,26,2015,5.4,Michigan
MN,27,2015,3.7,Minnesota
MS,28,2015,6.5,Mississippi
MO,29,2015,5,Missouri
MT,30,2015,4.1,Montana
NE,31,2015,3,Nebraska
NV,32,2015,6.7,Nevada
NH,33,2015,3.4,New Hampshire
NJ,34,2015,5.6,New Jersey
NM,35,2015,6.6,New Mexico
NY,36,2015,5.3,New York
NC,37,2015,5.7,North Carolina
ND,38,2015,2.7,North Dakota
OH,39,2015,4.9,Ohio
OK,40,2015,4.2,Oklahoma
OR,41,2015,5.7,Oregon
PA,42,2015,5.1,Pennsylvania
RI,44,2015,6,Rhode Island
SC,45,2015,6,South Carolina
SD,46,2015,3.1,South Dakota
TN,47,2015,5.8,Tennessee
TX,48,2015,4.5,Texas
UT,49,2015,3.5,Utah
VT,50,2015,3.7,Vermont
VA,51,2015,4.4,Virginia
WA,53,2015,5.7,Washington
WV,54,2015,6.7,West Virginia
WI,55,2015,4.6,Wisconsin
WY,56,2015,4.2,Wyoming
