state,fips,year,unemployment,state_full
DC,11,1993,8.5,District of Columbia
FL,12,1993,7.1,Florida
GA,13,1993,6,Georgia
HI,15,1993,4.5,Hawaii
ID,16,1993,6,Idaho
IL,17,1993,7.4,Illinois
IN,18,1993,5.4,Indiana
IA,19,1993,4,Iowa
KS,20,1993,5,Kansas
KY,21,1993,6.2,Kentucky
LA,22,1993,7.6,Louisiana
ME,23,1993,7.3,Maine
MD,24,1993,6.2,Maryland
MA,25,1993,7,Massachusetts
MI,26,1993,7.2,Michigan
MN,27,1993,5,Minnesota
MS,28,1993,6.6,Mississippi
MO,29,1993,6.2,Missouri
MT,30,1993,6,Montana
NE,31,1993,2.8,Nebraska
NV,32,1993,6.8,Nevada
NH,33,1993,6.1,New Hampshire
NJ,34,1993,7.6,New Jersey
NM,35,1993,7,New Mexico
NY,36,1993,7.9,New York
NC,37,1993,5,North Carolina
ND,38,1993,4.3,North Dakota
OH,39,1993,6.6,Ohio
OK,40,1993,5.9,Oklahoma
OR,41,1993,7,Oregon
PA,42,1993,7,Pennsylvania
RI,44,1993,7.7,Rhode Island
SC,45,1993,7.3,South Carolina
SD,46,1993,3.4,South Dakota
TN,47,1993,5.8,Tennessee
TX,48,1993,7.2,Texas
UT,49,1993,4.1,Utah
VT,50,1993,5.2,Vermont
VA,51,1993,5.2,Virginia
WA,53,1993,7.3,Washington
WV,54,1993,10.6,West Virginia
WI,55,1993,4.8,Wisconsin
WY,56,1993,5.3,Wyoming
AL,1,1994,6.2,Alabama
AK,2,1994,7.6,Alaska
AZ,4,1994,6.1,Arizona
AR,5,1994,5.4,Arkansas
CA,6,1994,8.6,California
CO,8,1994,4.2,Colorado
CT,9,1994,5.6,Connecticut
DE,10,1994,4.8,Delaware
DC,11,1994,8,District of Columbia
FL,12,1994,6.4,Florida
GA,13,1994,5.2,Georgia
HI,15,1994,5.5,Hawaii
ID,16,1994,5.4,Idaho
IL,17,1994,5.8,Illinois
IN,18,1994,4.9,Indiana
IA,19,1994,3.5,Iowa
KS,20,1994,4.9,Kansas
KY,21,1994,5.4,Kentucky
LA,22,1994,7.8,Louisiana
ME,23,1994,7,Maine
MD,24,1994,5.3,Maryland
MA,25,1994,6,Massachusetts
MI,26,1994,6,Michigan
MN,27,1994,4.1,Minnesota
MS,28,1994,6.3,Mississippi
MO,29,1994,5.1,Missouri
MT,30,1994,5.2,Montana
NE,31,1994,2.6,Nebraska
NV,32,1994,6.2,Nevada
NH,33,1994,4.7,New Hampshire
NJ,34,1994,6.8,New Jersey
NM,35,1994,6.5,New Mexico
NY,36,1994,6.9,New York
NC,37,1994,4.4,North Carolina
ND,38,1994,3.7,North Dakota
OH,39,1994,5.6,Ohio
OK,40,1994,5.6,Oklahoma
OR,41,1994,5.4,Oregon
PA,42,1994,6.3,Pennsylvania
RI,44,1994,6.9,Rhode Island
SC,45,1994,6.2,South Carolina
SD,46,1994,3.3,South Dakota
TN,47,1994,4.8,Tennessee
TX,48,1994,6.5,Texas
UT,49,1994,3.8,Utah
VT,50,1994,4.6,Vermont
